Date,Price,Signal,Context,Conviction,Regime,Stop_Loss,Take_Profit,Position_%,R:R,Zone,FVGs,Sweeps,Structure,SMT,Reasons,Smart_Money_Reasons,Warnings
2025-04-08,414.58,LEAN SELL,Fair Value Gap Entry,0.518,Volatile / Uncertain,446.83,350.08,0.3500,2.0,discount,6,1,0,0,Bearish: Price below EMA 9/21 stack | Bearish: Price below Parabolic SAR | Bullish: RSI oversold at 23.3 | Bullish: Stochastic oversold (15) | Bullish: MFI oversold (19) — institutional buying | Bearish: Volume surge (1.8x avg) on down day | Bearish: OBV below its moving average | Bullish: Price at lower Bollinger Band | Bearish: Walking lower Bollinger Band,[FVG ENTRY] Price filling into bearish FVG (gap: $439-$464) | [FVG ENTRY] Price filling into bearish FVG (gap: $442-$449) | [P/D] Price in DISCOUNT zone — favorable for longs,
2025-04-09,464.34,STRONG BUY,Liquidity Sweep Reversal,0.91,Volatile / Uncertain,426.93,539.15,0.3500,2.0,equilibrium,6,1,0,0,Bullish: Price above Parabolic SAR | Bullish: RSI positive divergence | Bullish: Volume surge (2.4x avg) on up day | Bullish: OBV above its moving average | Bullish: OBV divergence (accumulation) | Bearish: Walking lower Bollinger Band | Bullish Pattern: Bullish Engulfing,"[SWEEP] Bullish liquidity sweep — swept $464.08 lows, reversed to $464.34 (strength: 1.00) | [DISPLACEMENT] Bullish displacement candle (2.7x ATR body)",
2025-04-10,444.59,HOLD,Trend Continuation,0.334,Volatile / Uncertain,431.25,466.82,0.0000,0.0,equilibrium,3,1,0,0,Bearish: Price below EMA 9/21 stack | Bullish: Price above Parabolic SAR | Bullish: RSI positive divergence | Bearish: Volume surge (1.7x avg) on down day | Bearish: OBV below its moving average,,PATIENCE: Conviction 0.33 < 0.40
2025-04-11,452.78,HOLD,Standard Technical Signal,0.182,Volatile / Uncertain,439.2,475.42,0.0000,0.0,equilibrium,3,1,0,0,Bullish: Price above Parabolic SAR | Bearish: OBV below its moving average | Bullish Pattern: Bullish Engulfing | Bearish: Near R1 resistance (455),,PATIENCE: Conviction 0.18 < 0.40
2025-04-14,455.85,HOLD,Breakout,0.314,Strong Downtrend,442.17,478.64,0.0000,0.0,equilibrium,3,1,0,0,STRONG Bearish: 50/200 Death Cross | Bullish: Price above Parabolic SAR | Bullish: MACD histogram crossed above zero | Bullish: MACD bullish crossover | Bullish: OBV above its moving average | Bearish: Near R1 resistance (458),,PATIENCE: Conviction 0.31 < 0.40
2025-04-15,456.36,LEAN BUY,Standard Technical Signal,0.307,Strong Downtrend,420.44,528.19,0.3500,2.0,equilibrium,3,1,0,0,Bullish: Price above Parabolic SAR | Bullish: RSI positive divergence | Bullish: OBV above its moving average | Bullish: OBV divergence (accumulation) | Neutral Pattern: Doji | Bullish: Near S1 support (450) | Bearish: Near R1 resistance (462),,DISCIPLINE: Buying against downtrend
2025-04-16,442.6,HOLD,Trend Continuation,0.134,Strong Downtrend,429.32,464.73,0.0000,0.0,equilibrium,3,1,0,0,Bearish: Price below EMA 9/21 stack | Bullish: Price above Parabolic SAR | Bullish: OBV above its moving average | Bearish Pattern: Three Black Crows | Bullish: Near S2 strong support (451),,PATIENCE: Conviction 0.13 < 0.40
2025-04-17,442.52,HOLD,Trend Continuation,0.377,Strong Downtrend,429.24,464.65,0.0000,0.0,equilibrium,3,0,0,0,Bearish: Price below EMA 9/21 stack | Bullish: Price above Parabolic SAR | Bullish: RSI positive divergence | Bearish: OBV below its moving average | Bearish Pattern: Three Black Crows | Bullish: Near S1 support (436) | Bearish: Near R1 resistance (450),[FVG] Bearish Fair Value Gap formed (0.5x ATR),PATIENCE: Conviction 0.38 < 0.40
2025-04-21,431.57,LEAN BUY,Order Block Entry,0.335,Strong Downtrend,397.19,500.34,0.3500,2.0,discount,4,0,0,0,Bearish: Price below EMA 9/21 stack | Bullish: Price above Parabolic SAR | Lean Bullish: RSI approaching oversold (38.7) | Bullish: RSI positive divergence | Bearish: OBV below its moving average | Bearish Pattern: Three Black Crows | Bullish: Near S1 support (439),[ORDER BLOCK] Testing bullish OB at $415-$437 (displacement: 2.7x ATR) | [P/D] Price in DISCOUNT zone — favorable for longs,DISCIPLINE: Buying against downtrend
2025-04-22,442.9,HOLD,Trend Continuation,0.265,Strong Downtrend,429.61,465.05,0.0000,0.0,equilibrium,4,0,0,0,Bearish: Price below EMA 9/21 stack | Bullish: Price above Parabolic SAR | Bullish: RSI positive divergence | Bearish: OBV below its moving average | Bearish: Near R1 resistance (437),,PATIENCE: Conviction 0.26 < 0.40
2025-04-23,452.94,LEAN BUY,Standard Technical Signal,0.258,Strong Downtrend,418.69,521.44,0.3500,2.0,equilibrium,4,0,0,0,Bullish: Price above Parabolic SAR | Bullish: RSI positive divergence | Bullish: OBV above its moving average | Bearish: Near R1 resistance (447),[FVG] Bullish Fair Value Gap formed (0.8x ATR),DISCIPLINE: Buying against downtrend
2025-04-24,465.69,HOLD,Mean Reversion / Reversal,0.29,Strong Downtrend,451.72,488.97,0.0000,0.0,equilibrium,4,0,0,0,Bullish: Price above Parabolic SAR | Bearish: Stochastic overbought (99) | Bullish: OBV above its moving average | Bullish: OBV divergence (accumulation) | Bearish: Near R1 resistance (459),[FVG] Bullish Fair Value Gap formed (0.5x ATR),PATIENCE: Conviction 0.29 < 0.40
2025-04-25,470.88,HOLD,Mean Reversion / Reversal,0.212,Strong Downtrend,456.75,494.42,0.0000,0.0,equilibrium,5,0,0,0,Bullish: Price above Parabolic SAR | Bearish: Stochastic overbought (99) | Bullish: OBV above its moving average | Bullish: OBV divergence (accumulation) | Bearish: Near R1 resistance (470),,PATIENCE: Conviction 0.21 < 0.40
2025-04-28,470.73,HOLD,Mean Reversion / Reversal,0.182,Downtrend,456.61,494.27,0.0000,0.0,equilibrium,5,0,0,0,Bullish: Price above Parabolic SAR | Bearish: Stochastic overbought (96) | Bullish: OBV above its moving average | Neutral Pattern: Doji | Bullish: Near S1 support (466) | Bearish: Near R1 resistance (474),,PATIENCE: Conviction 0.18 < 0.40
2025-04-29,473.84,LEAN BUY,Breakout,0.3,Downtrend,443.81,533.91,0.3500,2.0,equilibrium,5,0,0,0,Bullish: Price above EMA 9/21 stack | Bullish: Fresh EMA 9/21 golden cross | Bullish: Price above Parabolic SAR | Bearish: Stochastic overbought (99) | Low volume (0.5x avg) — weak conviction | Bullish: OBV above its moving average | Bullish Pattern: Bullish Engulfing | Bearish: Near R1 resistance (474),,DISCIPLINE: Buying against downtrend
2025-04-30,473.78,HOLD,Mean Reversion / Reversal,0.381,Downtrend,459.57,497.47,0.0000,0.0,equilibrium,5,0,0,0,Bullish: Price above EMA 9/21 stack | Bullish: Price above Parabolic SAR | Bearish: Stochastic overbought (96) | Bullish: OBV above its moving average | Bullish: Near S1 support (470) | Bearish: Near R1 resistance (476),,PATIENCE: Conviction 0.38 < 0.40
2025-05-01,479.96,HOLD,Fair Value Gap Entry,0.227,Volatile / Uncertain,465.56,503.96,0.0000,0.0,equilibrium,5,0,0,0,Bullish: Price above EMA 9/21 stack | Bullish: Price above Parabolic SAR | Bearish: Stochastic overbought (91) | Bullish: OBV above its moving average | Bearish: Near R1 resistance (479),[FVG ENTRY] Price filling into bearish FVG (gap: $485-$489),PATIENCE: Conviction 0.23 < 0.34
2025-05-02,487.09,HOLD,Mean Reversion / Reversal,0.269,Volatile / Uncertain,472.48,511.44,0.0000,0.0,equilibrium,5,0,0,0,Bullish: Price above EMA 9/21 stack | Bullish: Price above Parabolic SAR | Lean Bearish: RSI elevated (60.8) | Bearish: Stochastic overbought (97) | Bullish: OBV above its moving average | Bearish: Near R1 resistance (484),[FVG] Bullish Fair Value Gap formed (0.5x ATR),PATIENCE: Conviction 0.27 < 0.40
2025-05-05,484.2,LEAN BUY,Fair Value Gap Entry,0.431,Volatile / Uncertain,456.83,538.94,0.3500,2.0,equilibrium,5,0,0,0,Bullish: Price above EMA 9/21 stack | Bullish: Price above Parabolic SAR | Bearish: Stochastic overbought (92) | Low volume (0.5x avg) — weak conviction | Bullish: OBV above its moving average | Bearish Pattern: Shooting Star | Bullish: Near S1 support (484) | Bearish: Near R1 resistance (490),[FVG ENTRY] Price filling into bullish FVG (gap: $476-$483),
2025-05-06,479.7,BUY,Fair Value Gap Entry,0.77,Volatile / Uncertain,453.18,532.73,0.3500,2.0,equilibrium,5,0,0,0,Bullish: Price above EMA 9/21 stack | Bullish: Price above Parabolic SAR | Bearish: Stochastic overbought (85) | Bullish: OBV above its moving average | Bullish Pattern: Three White Soldiers | Bullish: Near S1 support (482),[FVG ENTRY] Price filling into bullish FVG (gap: $476-$483),
2025-05-07,481.58,HOLD,Mean Reversion / Reversal,0.516,Volatile / Uncertain,467.13,505.66,0.0000,0.0,equilibrium,4,0,0,0,Bullish: Price above EMA 9/21 stack | Bullish: Price above Parabolic SAR | Bearish: Stochastic overbought (88) | Bullish: OBV above its moving average | Bullish Pattern: Three White Soldiers | Bullish: Near S1 support (476) | Bearish: Near R1 resistance (483),,PATIENCE: Volatile — need higher conviction
2025-05-08,486.55,HOLD,Mean Reversion / Reversal,0.266,Volatile / Uncertain,471.95,510.88,0.0000,0.0,equilibrium,4,0,0,0,Bullish: Price above EMA 9/21 stack | Bullish: Price above Parabolic SAR | Bearish: Stochastic overbought (93) | Bullish: OBV above its moving average | Neutral Pattern: Doji | Bearish: Near R1 resistance (485),,PATIENCE: Conviction 0.27 < 0.40
2025-05-09,486.23,HOLD,Mean Reversion / Reversal,0.242,Volatile / Uncertain,471.64,510.54,0.0000,0.0,equilibrium,4,0,0,0,Bullish: Price above EMA 9/21 stack | Bullish: Price above Parabolic SAR | Bearish: Stochastic overbought (91) | Bearish: MFI overbought (80) — institutional selling | Bullish: OBV above its moving average | Bearish Pattern: Evening Star | Bullish: Near S1 support (482) | Bearish: Near R1 resistance (491),,PATIENCE: Conviction 0.24 < 0.40
2025-05-12,506.04,HOLD,Break of Structure,0.394,Volatile / Uncertain,490.86,531.34,0.0000,0.0,premium,4,0,1,0,Bullish: Price above EMA 9/21 stack | Bullish: Price above Parabolic SAR | Lean Bearish: RSI elevated (67.3) | Bearish: Stochastic overbought (100) | Bearish: MFI overbought (80) — institutional selling | Bullish: OBV above its moving average | Bearish Pattern: Hanging Man,[FVG] Bullish Fair Value Gap formed (0.7x ATR) | [STRUCTURE] Bullish CHoCH — broke above $491.86 | [P/D] Price in PREMIUM zone — favorable for shorts,PATIENCE: Conviction 0.39 < 0.40
2025-05-13,513.75,HOLD,Mean Reversion / Reversal,0.378,Sideways / Choppy,498.34,539.44,0.0000,0.0,premium,5,0,0,0,Bullish: Price above EMA 9/21 stack | Bullish: Price above Parabolic SAR | Lean Bearish: RSI elevated (69.8) | Bearish: Stochastic overbought (97) | Bearish: MFI overbought (80) — institutional selling | Bullish: OBV above its moving average | Bearish: Price at upper Bollinger Band | Bullish: Walking upper Bollinger Band | Bullish Pattern: Morning Star | Bearish: Near R1 resistance (508),[FVG] Bullish Fair Value Gap formed (1.3x ATR) | [P/D] Price in PREMIUM zone — favorable for shorts,PATIENCE: Conviction 0.38 < 0.40
2025-05-14,516.83,LEAN SELL,Fair Value Gap Entry,0.459,Sideways / Choppy,540.54,469.4,0.3500,2.0,premium,6,0,0,0,Bullish: Price above EMA 9/21 stack | Bullish: Price above Parabolic SAR | Bearish: RSI overbought at 70.8 | Bearish: Stochastic overbought (99) | Bearish: MFI overbought (81) — institutional selling | Bullish: OBV above its moving average | Bullish: Walking upper Bollinger Band | Bearish: Near R1 resistance (517),[FVG] Bullish Fair Value Gap formed (0.7x ATR) | [FVG ENTRY] Price filling into bearish FVG (gap: $517-$523) | [P/D] Price in PREMIUM zone — favorable for shorts,
2025-05-15,517.4,HOLD,Fair Value Gap Entry,0.331,Sideways / Choppy,501.88,543.27,0.0000,0.0,premium,7,0,0,0,Bullish: Price above EMA 9/21 stack | Bullish: Price above Parabolic SAR | Bearish: RSI overbought at 70.9 | Bearish: Stochastic overbought (95) | Bearish: MFI overbought (81) — institutional selling | Bullish: OBV above its moving average | Bullish Pattern: Three White Soldiers | Bullish: Near S1 support (515) | Bearish: Near R1 resistance (518),[FVG ENTRY] Price filling into bearish FVG (gap: $517-$523) | [FVG ENTRY] Price filling into bullish FVG (gap: $506-$514) | [P/D] Price in PREMIUM zone — favorable for shorts,PATIENCE: Conviction 0.33 < 0.34
2025-05-16,519.65,HOLD,Mean Reversion / Reversal,0.519,Sideways / Choppy,504.06,545.63,0.0000,0.0,premium,6,0,0,0,Bullish: Price above EMA 9/21 stack | Bullish: Price above Parabolic SAR | Bearish: RSI overbought at 71.7 | Bearish: Stochastic overbought (99) | Bearish: MFI overbought (82) — institutional selling | Bullish: OBV above its moving average | Bearish Pattern: Hanging Man | Bearish: Near R1 resistance (521),[P/D] Price in PREMIUM zone — favorable for shorts,PATIENCE: Sideways chop — waiting
2025-05-19,520.15,LEAN BUY,Fair Value Gap Entry,0.447,Sideways / Choppy,498.55,563.36,0.3500,2.0,premium,6,0,0,0,Bullish: Price above EMA 9/21 stack | Bullish: Price above Parabolic SAR | Bearish: RSI overbought at 71.9 | Bearish: Stochastic overbought (99) | Bullish: OBV above its moving average | Bullish Pattern: Three White Soldiers | Bullish: Near S1 support (517) | Bearish: Near R1 resistance (521),[FVG ENTRY] Price filling into bullish FVG (gap: $506-$514) | [P/D] Price in PREMIUM zone — favorable for shorts,
2025-05-20,518.42,HOLD,Mean Reversion / Reversal,0.232,Sideways / Choppy,502.87,544.34,0.0000,0.0,premium,6,0,0,0,Bullish: Price above EMA 9/21 stack | Bullish: Price above Parabolic SAR | Bearish: RSI overbought at 70.3 | Bearish: Stochastic overbought (95) | Bullish: OBV above its moving average | Bullish: Near S1 support (515) | Bearish: Near R1 resistance (523),[P/D] Price in PREMIUM zone — favorable for shorts,PATIENCE: Conviction 0.23 < 0.40
2025-05-21,511.21,LEAN BUY,Fair Value Gap Entry,0.457,Sideways / Choppy,490.2,553.23,0.3500,2.0,premium,6,0,0,0,Bullish: Price above EMA 9/21 stack | Bullish: Price above Parabolic SAR | Lean Bearish: RSI elevated (63.8) | Bearish: Volume surge (1.7x avg) on down day | Bullish: OBV above its moving average | Bullish: Near S1 support (516),[FVG ENTRY] Price filling into bullish FVG (gap: $506-$514) | [P/D] Price in PREMIUM zone — favorable for shorts,
2025-05-22,512.17,HOLD,Mean Reversion / Reversal,0.214,Sideways / Choppy,496.8,537.78,0.0000,0.0,premium,5,0,0,0,Bullish: Price above EMA 9/21 stack | Bullish: Price above Parabolic SAR | Lean Bearish: RSI elevated (64.3) | Bearish: Stochastic overbought (81) | Bullish: OBV above its moving average | Neutral Pattern: Doji,[P/D] Price in PREMIUM zone — favorable for shorts,PATIENCE: Conviction 0.21 < 0.40
2025-05-23,507.43,LEAN BUY,Fair Value Gap Entry,0.477,Sideways / Choppy,487.4,547.49,0.3500,2.0,premium,5,0,0,0,Bearish: Price below Parabolic SAR | Lean Bearish: RSI elevated (60.1) | Bullish: OBV above its moving average | Bullish Pattern: Morning Star | Bullish: Near S1 support (510),[FVG ENTRY] Price filling into bullish FVG (gap: $490-$507) | [P/D] Price in PREMIUM zone — favorable for shorts,
2025-05-27,519.36,HOLD,Mean Reversion / Reversal,0.215,Sideways / Choppy,503.78,545.33,0.0000,0.0,premium,5,0,0,0,Bullish: Price above EMA 9/21 stack | Bearish: Price below Parabolic SAR | Lean Bearish: RSI elevated (66.1) | Bearish: Stochastic overbought (96) | Bullish: OBV above its moving average | Bullish Pattern: Three White Soldiers,[P/D] Price in PREMIUM zone — favorable for shorts,PATIENCE: Conviction 0.22 < 0.40
2025-05-28,517.06,HOLD,Mean Reversion / Reversal,0.314,Sideways / Choppy,501.55,542.91,0.0000,0.0,premium,5,0,0,0,Bullish: Price above EMA 9/21 stack | Bullish: Price above Parabolic SAR | Lean Bearish: RSI elevated (64.1) | Bearish: Stochastic overbought (88) | Bullish: OBV above its moving average | Bullish: Near S1 support (515) | Bearish: Near R1 resistance (522),[FVG] Bullish Fair Value Gap formed (0.7x ATR) | [P/D] Price in PREMIUM zone — favorable for shorts,PATIENCE: Conviction 0.31 < 0.40
2025-05-29,518.08,HOLD,Fair Value Gap Entry,0.3,Sideways / Choppy,502.54,543.98,0.0000,0.0,premium,6,0,0,0,Bullish: Price above EMA 9/21 stack | Bullish: Price above Parabolic SAR | Lean Bearish: RSI elevated (64.6) | Bearish: MACD histogram crossed below zero | Bearish: MACD bearish crossover | Bearish: Stochastic overbought (84) | Bullish: OBV above its moving average | Bullish: Near S1 support (515) | Bearish: Near R1 resistance (520),[FVG ENTRY] Price filling into bullish FVG (gap: $510-$517) | [P/D] Price in PREMIUM zone — favorable for shorts,PATIENCE: Conviction 0.30 < 0.34
2025-05-30,517.26,LEAN BUY,Fair Value Gap Entry,0.627,Sideways / Choppy,497.84,556.09,0.3500,2.0,premium,6,0,0,0,Bullish: Price above EMA 9/21 stack | Bullish: Price above Parabolic SAR | Lean Bearish: RSI elevated (63.8) | Bullish: OBV above its moving average | Neutral Pattern: Doji | Bullish: Near S1 support (514),[FVG ENTRY] Price filling into bullish FVG (gap: $510-$517) | [P/D] Price in PREMIUM zone — favorable for shorts,
2025-06-02,521.35,HOLD,Mean Reversion / Reversal,0.35,Sideways / Choppy,505.71,547.42,0.0000,0.0,premium,5,0,0,0,Bullish: Price above EMA 9/21 stack | Bullish: Price above Parabolic SAR | Lean Bearish: RSI elevated (66.0) | Bearish: RSI negative divergence | Bearish: Stochastic overbought (84) | Bullish: OBV above its moving average | Bullish Pattern: Bullish Engulfing | Bullish Pattern: Morning Star | Bearish: Near R1 resistance (521),[P/D] Price in PREMIUM zone — favorable for shorts,PATIENCE: Conviction 0.35 < 0.40
2025-06-03,525.42,LEAN SELL,Fair Value Gap Entry,0.488,Sideways / Choppy,544.01,488.24,0.3500,2.0,premium,5,0,0,0,Bullish: Price above EMA 9/21 stack | Bullish: Price above Parabolic SAR | Lean Bearish: RSI elevated (68.1) | Bearish: RSI negative divergence | Bearish: Stochastic overbought (94) | Bullish: OBV above its moving average | Bearish: Near R1 resistance (524),[FVG ENTRY] Price filling into bearish FVG (gap: $526-$530) | [P/D] Price in PREMIUM zone — favorable for shorts,
2025-06-04,526.89,LEAN SELL,Fair Value Gap Entry,0.488,Sideways / Choppy,544.7,491.26,0.3500,2.0,premium,5,0,0,0,Bullish: Price above EMA 9/21 stack | Bullish: Price above Parabolic SAR | Lean Bearish: RSI elevated (68.8) | Bearish: RSI negative divergence | Bearish: Stochastic overbought (96) | Bullish: OBV above its moving average | Bearish: Near R1 resistance (528),[FVG ENTRY] Price filling into bearish FVG (gap: $526-$530) | [P/D] Price in PREMIUM zone — favorable for shorts,
2025-06-05,522.92,LEAN SELL,Fair Value Gap Entry,0.514,Sideways / Choppy,540.94,486.88,0.3500,2.0,premium,5,0,0,0,Bullish: Price above EMA 9/21 stack | Bullish: Price above Parabolic SAR | Lean Bearish: RSI elevated (64.5) | Bearish: RSI negative divergence | Bullish: OBV above its moving average | Bearish Pattern: Bearish Engulfing | Bearish Pattern: Evening Star | Bullish: Near S1 support (525),[FVG ENTRY] Price filling into bearish FVG (gap: $526-$530) | [P/D] Price in PREMIUM zone — favorable for shorts,
2025-06-06,528.03,HOLD,Mean Reversion / Reversal,0.312,Sideways / Choppy,512.19,554.43,0.0000,0.0,premium,4,0,0,0,Bullish: Price above EMA 9/21 stack | Bullish: Price above Parabolic SAR | Lean Bearish: RSI elevated (67.3) | Bearish: RSI negative divergence | Bearish: Stochastic overbought (89) | Bullish: OBV above its moving average | Neutral Pattern: Doji | Bearish: Near R1 resistance (529),[P/D] Price in PREMIUM zone — favorable for shorts,PATIENCE: Conviction 0.31 < 0.40
2025-06-09,528.81,HOLD,Mean Reversion / Reversal,0.232,Sideways / Choppy,512.95,555.25,0.0000,0.0,premium,4,0,0,0,Bullish: Price above EMA 9/21 stack | Bullish: Price above Parabolic SAR | Lean Bearish: RSI elevated (67.8) | Bearish: RSI negative divergence | Bearish: Stochastic overbought (91) | Bullish: OBV above its moving average | Bullish: Near S1 support (526) | Bearish: Near R1 resistance (530),[P/D] Price in PREMIUM zone — favorable for shorts,PATIENCE: Conviction 0.23 < 0.40
2025-06-10,532.31,HOLD,Mean Reversion / Reversal,0.301,Sideways / Choppy,516.34,558.93,0.0000,0.0,premium,4,0,0,0,Bullish: Price above EMA 9/21 stack | Bullish: Price above Parabolic SAR | Lean Bearish: RSI elevated (69.7) | Bearish: RSI negative divergence | Bearish: Stochastic overbought (98) | Bullish: OBV above its moving average | Bearish: Price at upper Bollinger Band | Bullish Pattern: Morning Star | Bearish: Near R1 resistance (530),[P/D] Price in PREMIUM zone — favorable for shorts,PATIENCE: Conviction 0.30 < 0.40
2025-06-11,530.51,HOLD,Mean Reversion / Reversal,0.231,Sideways / Choppy,514.59,557.04,0.0000,0.0,premium,4,0,0,0,Bullish: Price above EMA 9/21 stack | Bullish: Price above Parabolic SAR | Lean Bearish: RSI elevated (67.5) | Bearish: Stochastic overbought (86) | Bullish: OBV above its moving average | Bullish: Near S1 support (529) | Bearish: Near R1 resistance (535),[P/D] Price in PREMIUM zone — favorable for shorts,PATIENCE: Conviction 0.23 < 0.40
2025-06-12,531.76,HOLD,Mean Reversion / Reversal,0.154,Sideways / Choppy,515.81,558.35,0.0000,0.0,premium,4,0,0,0,Bullish: Price above EMA 9/21 stack | Bullish: Price above Parabolic SAR | Lean Bearish: RSI elevated (68.2) | Bearish: Stochastic overbought (90) | Bullish: OBV above its moving average | Bearish: Near R1 resistance (534),[P/D] Price in PREMIUM zone — favorable for shorts,PATIENCE: Conviction 0.15 < 0.40
2025-06-13,525.08,HOLD,Standard Technical Signal,0.338,Sideways / Choppy,509.33,551.33,0.0000,0.0,premium,4,0,0,0,Bullish: Price above Parabolic SAR | Lean Bearish: RSI elevated (60.2) | Bullish: OBV above its moving average | Bullish: Near S2 strong support (527),[P/D] Price in PREMIUM zone — favorable for shorts,PATIENCE: Conviction 0.34 < 0.40
2025-06-16,532.39,HOLD,Mean Reversion / Reversal,0.312,Sideways / Choppy,516.42,559.01,0.0000,0.0,premium,4,0,0,0,Bullish: Price above EMA 9/21 stack | Bullish: Price above Parabolic SAR | Lean Bearish: RSI elevated (65.0) | Bearish: RSI negative divergence | Bearish: Stochastic overbought (90) | Bullish: OBV above its moving average | Bearish: Near R1 resistance (529),[P/D] Price in PREMIUM zone — favorable for shorts,PATIENCE: Conviction 0.31 < 0.40
2025-06-17,527.2,HOLD,Standard Technical Signal,0.216,Sideways / Choppy,511.38,553.56,0.0000,0.0,premium,4,0,0,0,Bullish: Price above Parabolic SAR | Bearish: RSI negative divergence | Bullish: OBV above its moving average | Bearish: OBV divergence (distribution) | Bullish: Near S1 support (529),[P/D] Price in PREMIUM zone — favorable for shorts,PATIENCE: Conviction 0.22 < 0.40
2025-06-18,527.11,HOLD,Standard Technical Signal,0.499,Sideways / Choppy,511.3,553.47,0.0000,0.0,premium,4,0,0,0,Bullish: Price above Parabolic SAR | Bearish: RSI negative divergence | Bearish: OBV below its moving average | Bearish: OBV divergence (distribution) | Bullish: Near S1 support (525) | Bearish: Near R1 resistance (530),[P/D] Price in PREMIUM zone — favorable for shorts,PATIENCE: Sideways chop — waiting
2025-06-20,524.95,SELL,Standard Technical Signal,0.7,Sideways / Choppy,540.3,494.25,0.3500,2.0,premium,4,0,0,0,Bearish: Price below Parabolic SAR | Bearish: RSI negative divergence | Bearish: OBV below its moving average | Bearish: OBV divergence (distribution) | Bearish Pattern: Three Black Crows | Bullish: Near S1 support (525),[P/D] Price in PREMIUM zone — favorable for shorts,
2025-06-23,530.35,LEAN SELL,Breakout,0.206,Uptrend,545.82,499.41,0.3500,2.0,premium,4,0,0,0,Bullish: Price above EMA 9/21 stack | STRONG Bullish: 50/200 Golden Cross | Bearish: Price below Parabolic SAR | Lean Bearish: RSI elevated (61.2) | Bearish: RSI negative divergence | Bearish: OBV below its moving average | Bearish: OBV divergence (distribution) | Bearish: Near R1 resistance (530),[P/D] Price in PREMIUM zone — favorable for shorts,DISCIPLINE: Selling against uptrend
2025-06-24,538.46,HOLD,Break of Structure,0.29,Uptrend,522.31,565.38,0.0000,0.0,premium,4,0,1,0,Bullish: Price above EMA 9/21 stack | Bullish: Price above Parabolic SAR | Lean Bearish: RSI elevated (66.4) | Bearish: RSI negative divergence | Bearish: Stochastic overbought (95) | Bullish: OBV above its moving average | Bearish: Price at upper Bollinger Band | Bearish: Near R2 strong resistance (536),[FVG] Bullish Fair Value Gap formed (0.4x ATR) | [STRUCTURE] Bullish BOS — broke above $534.87 | [P/D] Price in PREMIUM zone — favorable for shorts,PATIENCE: Conviction 0.29 < 0.40
2025-06-25,539.84,HOLD,Mean Reversion / Reversal,0.275,Uptrend,523.64,566.83,0.0000,0.0,premium,5,0,0,0,Bullish: Price above EMA 9/21 stack | Bullish: Price above Parabolic SAR | Lean Bearish: RSI elevated (67.2) | Bearish: RSI negative divergence | Bearish: Stochastic overbought (90) | Bullish: OBV above its moving average | Bearish: Price at upper Bollinger Band | Bullish: Walking upper Bollinger Band | Bearish: Near R1 resistance (540),[FVG] Bullish Fair Value Gap formed (1.0x ATR) | [P/D] Price in PREMIUM zone — favorable for shorts,PATIENCE: Conviction 0.27 < 0.40
2025-06-26,544.89,HOLD,Mean Reversion / Reversal,0.346,Uptrend,528.54,572.13,0.0000,0.0,premium,6,0,0,0,Bullish: Price above EMA 9/21 stack | Bullish: Price above Parabolic SAR | Bearish: RSI overbought at 70.1 | Bearish: Stochastic overbought (98) | Bullish: OBV above its moving average | Bearish: Price at upper Bollinger Band | Bullish: Walking upper Bollinger Band | Bearish: Near R1 resistance (542),[P/D] Price in PREMIUM zone — favorable for shorts,PATIENCE: Conviction 0.35 < 0.40
2025-06-27,546.75,HOLD,Mean Reversion / Reversal,0.375,Uptrend,530.35,574.09,0.0000,0.0,premium,6,0,0,0,Bullish: Price above EMA 9/21 stack | Bullish: Price above Parabolic SAR | Bearish: RSI overbought at 71.1 | Bullish: MACD histogram crossed above zero | Bullish: MACD bullish crossover | Bearish: Stochastic overbought (93) | Bullish: OBV above its moving average | Bearish: Price at upper Bollinger Band | Bullish: Walking upper Bollinger Band | Bearish: Near R1 resistance (547),[P/D] Price in PREMIUM zone — favorable for shorts,PATIENCE: Conviction 0.37 < 0.40
2025-06-30,550.29,HOLD,Mean Reversion / Reversal,0.319,Uptrend,533.78,577.8,0.0000,0.0,premium,6,0,0,0,Bullish: Price above EMA 9/21 stack | Bullish: Price above Parabolic SAR | Bearish: RSI overbought at 72.9 | Bearish: Stochastic overbought (96) | Bullish: OBV above its moving average | Bearish: Price at upper Bollinger Band | Bullish: Walking upper Bollinger Band | Bearish: Near R1 resistance (549),[FVG] Bullish Fair Value Gap formed (0.3x ATR) | [P/D] Price in PREMIUM zone — favorable for shorts,PATIENCE: Conviction 0.32 < 0.40
2025-07-01,545.65,HOLD,Mean Reversion / Reversal,0.237,Uptrend,529.28,572.93,0.0000,0.0,premium,7,0,0,0,Bullish: Price above EMA 9/21 stack | Bullish: Price above Parabolic SAR | Lean Bearish: RSI elevated (66.9) | Bearish: RSI negative divergence | Bearish: Stochastic overbought (80) | Bullish: OBV above its moving average | Bullish: Walking upper Bollinger Band | Bearish Pattern: Evening Star | Bullish: Near S1 support (548),[P/D] Price in PREMIUM zone — favorable for shorts,PATIENCE: Conviction 0.24 < 0.40
